id,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped,FIELD69,FIELD70,FIELD71,FIELD72,FIELD73
215,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Izrada tehnicke dokumentacije za ogradivanje groblja Mirogoj i Gaj urni,,,"500,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"500,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Izrada ograde groblja Mirogoj i Gaj urni,,,"1,000,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"1,000,000.00",Gradenje,G,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Strucni nadzor nad sanacijom cesta i kanalizacije na groblju Mirogoj,,,"30,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"30,000.00",Nadzor,N,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Kordinator II zastite na radu nad sanacijom cesta i kanalizacije na groblju Mirogoj,,,"15,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"15,000.00",,,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,￼Izrada tehnicke dokumentaije za sanaciju cesta i kanalizacija na groblju Mirosevac,,,"50,000 kn",Mirosevac,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"50,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJA DUBRAVA,Zona 3,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,2016-PROGRAM,,Groblja i krematorij,Prenesene obveze iz prethodnog razdoblja,Izrada programa za urbanisticki plan uredenja za groblje Moravce,,,"222,500 kn",Moravce,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"222,500.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt SESVETE,Zona 4,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,2016-PROGRAM,,Groblja i krematorij,Prenesene obveze iz prethodnog razdoblja,Izrada urbanistickog plana uredenja groblja Markovo polje,,,"105,750 kn",Markovo polje,,,45.791076,15.910921,,,,,,,,,,,,,,,,,,,,,,1,"105,750.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt SESVETE,Zona 4,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Izrada tehnicke dokumentacije za izgradnju mrtvacnice na groblju Moravce,,,"150,000 kn",Moravce,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"150,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt SESVETE,Zona 4,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Izgradnja mrtvacnice na groblju Moravce,,,"1,500,000 kn",Moravce,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"1,500,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,Zona 4,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Izrada tehnicke dokumentacije za I fazu prosirenja groblja Markovo polje,,,"500,000 kn",Markovo polje,,,45.791076,15.910921,,,,,,,,,,,,,,,,,,,,,,1,"500,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt SESVETE,Zona 4,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Otkup zemljista za prosirenje groblja,,,"3,990,458 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,990,457.62",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,"Izrada urbanistickog plan uredenja malih groblja ( Stenjevec, Sestine, Gornje Vrapce, Granesina, Cerje)",,,"200,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"200,000.00",Tehnicka dokumentacija,TD,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,"Oko objekta MORH, Bauerova, Stanciceva, Trg kralja Petra Kresimira IV.",,,"8,188 kn",Bauerova,,,45.833703,16.002477,,,,,,,,,,,,,,,,,,,,,,1,"8,187.50",Tehnicka dokumentacija,TD,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Primorska,,,"1,875 kn",Primorska,,,45.811397,15.944426,,,,,,,,,,,,,,,,,,,,,,1,"1,875.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Tomislavov trg,,,"110,729 kn",Tomislavov trg,,,45.814555,15.973066,,,,,,,,,,,,,,,,,,,,,,1,"110,728.75",Tehnicka dokumentacija,TD,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,2016-PROGRAM,,Javna rasvjeta,Povrat po ugovorima o financiranju,Varsavska ulica,,,0 kn,Varsavska ulica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,0.00,Gradenje,G,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Kneza Trpimira,,,"250,000 kn",Ulica Kneza Trpimira,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"250,000.00",Gradenje,G,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Kneza Trpimira,,,"10,000 kn",Ulica Kneza Trpimira,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"10,000.00",Nadzor,N,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,"Trg kralja Petra Svacica, Haulikova i Kumiciceva ulica",,,"400,000 kn",Trg kralja Petra Svacica,,,45.667262,15.647106,,,,,,,,,,,,,,,,,,,,,,1,"400,000.00",Gradenje,G,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,"Trg kralja Petra Svacica, Haulikova i Kumiciceva ulica",,,"15,000 kn",Trg kralja Petra Svacica,,,45.667262,15.647106,,,,,,,,,,,,,,,,,,,,,,1,"15,000.00",Nadzor,N,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Primorska ulica,,,"200,000 kn",Primorska ulica,,,45.810736,15.960924,,,,,,,,,,,,,,,,,,,,,,1,"200,000.00",Gradenje,G,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Primorska ulica,,,"10,000 kn",Primorska ulica,,,45.810736,15.960924,,,,,,,,,,,,,,,,,,,,,,1,"10,000.00",Nadzor,N,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Varsavska ulica,,,"30,000 kn",Varsavska ulica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"30,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Modernizacija sustava ovjesne javne rasvjete u Donjem gradu,,,"60,000 kn",Donji grad,,,45.799049,15.940955,,,,,,,,,,,,,,,,,,,,,,1,"60,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Rooseveltov trg u zoni tramvajskih stajalista,,,"15,000 kn",Rooseveltov trg,,,45.813987,16.055977,,,,,,,,,,,,,,,,,,,,,,1,"15,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica kneza Branimira od Glavnog kolodvora do Avenija Marina Drzica,,,"50,000 kn",Ulica kneza Branimira,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"50,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Marijana Derencina,,,"30,000 kn",Ulica Marijana Derencina,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"30,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt DONJI GRAD,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Odvojak Svetojanske ulice,,,"2,250 kn",Svetojanska ulica,,,45.814555,15.973066,,,,,,,,,,,,,,,,,,,,,,1,"2,250.00",Nadzor,N,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Mirogojska cesta,,,"15,625 kn",Mirogojska cesta,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"15,625.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Ulice i trgovi na Gornjem Gradu -Gricu,,,"38,500 kn",Gric,,,45.851323,15.976497,,,,,,,,,,,,,,,,,,,,,,1,"38,500.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Stube Sandora A. Alexandera,,,"15,500 kn",Stube Sandora A. Alexandera,,,45.814555,15.973066,,,,,,,,,,,,,,,,,,,,,,1,"15,500.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Park uz Bugarsku Pravoslavnu Crkvu u Jurjevskoj ulici,,,"12,500 kn",Jurjevska ulica,,,45.808749,15.959763,,,,,,,,,,,,,,,,,,,,,,1,"12,500.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,"Okolis Djecjeg vrtica Vjeverica, Ksaverska cesta 14",,,"17,500 kn",Ksaverska cesta 14,,,45.817873,15.975996,,,,,,,,,,,,,,,,,,,,,,1,"17,500.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Stube uz Uspinjacu u Ulici Josipa Eugena Tomica,,,"18,750 kn",Ulica Josipa Eugena Tomica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"18,750.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Pavla Radica od Trga Brace hrvatskog zmaja do Ilirskog trga,,,"25,000 kn",Ulica Pavla Radica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"25,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Pavla Radica,,,"195,000 kn",Ulica Pavla Radica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"195,000.00",Gradenje,G,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Pavla Radica,,,"8,000 kn",Ulica Pavla Radica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"8,000.00",Nadzor,N,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Pantovcak,,,"50,000 kn",Ulica Pantovcak,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"50,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Paskala Buconjica,,,"25,000 kn",Ulica Paskala Buconjica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"25,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Prometna petlja Avenija Marina Drzica- Slavonska avenija,,,"219,501 kn",,Avenija Marina Drzica,Slavonska avenija,45.80866,15.976272,,,,,,,,,,,,,,,,,,,,,,1,"219,501.31",Gradenje,G,,,,Gradska cetvrt TRNJE,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Prometna petlja Avenija MarinaDrzica- Slavonska avenija,,,"1,250 kn",,Avenija Marina Drzica,Slavonska avenija,45.80866,15.976272,,,,,,,,,,,,,,,,,,,,,,1,"1,250.00",Nadzor,N,,,,Gradska cetvrt TRNJE,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Pile II.,,,"14,875 kn",Pile II.,,,45.816883,15.980179,,,,,,,,,,,,,,,,,,,,,,1,"14,875.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt TRNJE,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Ulica Spiridiona Brusine,,,"9,875 kn",Ulica Spiridiona Brusine,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"9,875.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt TRNJE,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Veslacka,,,"9,600 kn",Veslacka,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"9,600.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Sjeverni savski nasip od Jadranskog mosta do Mosta mladosti,,,"14,125 kn",Jadranski most,,,45.76774,15.925678,,,,,,,,,,,,,,,,,,,,,,1,"14,125.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica Mavra Vetranica,,,"30,000 kn",Ulica Mavra Vetranica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"30,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt TRNJE,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Sjeverni savski nasip od Jadranskog mosta do Mosta mladosti,,,"2,200,000 kn",Jadranski most,,,45.76774,15.925678,,,,,,,,,,,,,,,,,,,,,,1,"2,200,000.00",Gradenje,G,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Sjeverni savski nasip od Jadranskog mosta do Mosta mladosti,,,"30,000 kn",Jadranski most,,,45.76774,15.925678,,,,,,,,,,,,,,,,,,,,,,1,"30,000.00",Nadzor,N,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Park 148. brigade,,,"600,000 kn",Park 148. brigade,,,45.800721,15.998245,,,,,,,,,,,,,,,,,,,,,,1,"600,000.00",Gradenje,G,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Park 148. brigade,,,"20,000 kn",Park 148. brigade,,,45.800721,15.998245,,,,,,,,,,,,,,,,,,,,,,1,"20,000.00",Nadzor,N,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Pjesacka staza uz Ulicu grada Vukovara od Palace pravde do Hrvatskih voda,,,"250,000 kn",Ulica grada Vukovara,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"250,000.00",Gradenje,G,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Pjesacka staza uz Ulicu grada Vukovara od Palace pravde do Hrvatskih voda,,,"10,000 kn",Ulica grada Vukovara,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"10,000.00",Nadzor,N,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,"Prometna petlja Avenija Marina Drzica- Slavonska avenija,demontaza stupova",,,"750,000 kn",,Avenija Marina Drzica,Slavonska avenija,45.80866,15.976272,,,,,,,,,,,,,,,,,,,,,,1,"750,000.00",Gradenje,G,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,"Prometna petlja Avenija Marina Drzica - Slavonska avenija, demontaza stupova",,,"20,000 kn",,Avenija Marina Drzica,Slavonska avenija,45.80866,15.976272,,,,,,,,,,,,,,,,,,,,,,1,"20,000.00",Nadzor,N,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Slavonska avenija - 1. etapa,,,"30,000 kn",Slavonska avenija,,,45.79779,16.034148,,,,,,,,,,,,,,,,,,,,,,1,"30,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Slavonska avenija - 1. etapa,,,"600,000 kn",Slavonska avenija,,,45.79779,16.034148,,,,,,,,,,,,,,,,,,,,,,1,"600,000.00",Gradenje,G,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Slavonska avenija - 1. etapa,,,"25,000 kn",Slavonska avenija,,,45.79779,16.034148,,,,,,,,,,,,,,,,,,,,,,1,"25,000.00",Nadzor,N,,,,Gradska cetvrt TRNJE,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Park u Bijenickoj cesti 97,,,"7,500 kn",Bijenicka cesta 97,,,45.833703,16.002477,,,,,,,,,,,,,,,,,,,,,,1,"7,500.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt MAKSIMIR,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Maksimirska,,,"50,000 kn",Maksimirska,,,45.815017,15.997478,,,,,,,,,,,,,,,,,,,,,,1,"50,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt MAKSIMIR,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Trg Otokara Kersovanija - Kuhaceva ulica - Ulica Gjure Eisenhutha,,,"30,000 kn",Trg Otokara Kersovanija,,,45.806349,15.977984,,,,,,,,,,,,,,,,,,,,,,1,"30,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt MAKSIMIR,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Ulica kralja Zvonimira od Heinzelove do Harambasiceve,,,"20,000 kn",Ulica kralja Zvonimira,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"20,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt MAKSIMIR,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Koledovcina - I. etapa,,,"42,882 kn",Koledovcina,,,45.764747,15.922673,,,,,,,,,,,,,,,,,,,,,,1,"42,882.13",Gradenje,G,,,,Gradska cetvrt PESCENICA - ZITNJAK,Zona 3,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Koledovcina - I. etapa,,,"4,950 kn",Koledovcina,,,45.764747,15.922673,,,,,,,,,,,,,,,,,,,,,,1,"4,950.00",Nadzor,N,,,,Gradska cetvrt PESCENICA - ZITNJAK,Zona 3,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Ulica Mije Haleusa,,,"4,151 kn",Ulica Mije Haleusa,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"4,151.25",Tehnicka dokumentacija,TD,,,,Gradska cetvrt PESCENICA - ZITNJAK,Zona 4,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Ulica Mije Haleusa - II. Resnik,,,"98,376 kn",Ulica Mije Haleusa,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"98,375.90",Gradenje,G,,,,Gradska cetvrt PESCENICA - ZITNJAK,Zona 4,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Ivanicgradska,,,"17,500 kn",Ivanicgradska,,,45.814483,15.937709,,,,,,,,,,,,,,,,,,,,,,1,"17,500.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt PESCENICA - ZITNJAK,Zona 4,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,2016-PROGRAM,,Javna rasvjeta,Ugovori o financiranju (stvarni trosak),"Ulica 1, Heinzelova-Vukovarska",,,"202,267 kn",,Heinzelova,Vukovarska,45.805645,16.007429,,,,,,,,,,,,,,,,,,,,,,1,"202,266.87",Gradenje,G,,,,Gradska cetvrt PESCENICA - ZITNJAK,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,2016-PROGRAM,,Javna rasvjeta,Nove obveze,Slavonska avenija - 2. etapa,,,"30,000 kn",Slavonska avenija,,,45.79779,16.034148,,,,,,,,,,,,,,,,,,,,,,1,"30,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt PESCENICA - ZITNJAK,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Ulica Bozidara Magovca,,,"15,625 kn",Ulica Bozidara Magovca,,,45.811044,15.997651,,,,,,,,,,,,,,,,,,,,,,1,"15,625.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt NOVI ZAGREB - ISTOK,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,OS Dugave i OS Fran Galovic,,,"17,500 kn",Skolski prilaz bb,,,45.814555,15.973066,,,,,,,,,,,,,,,,,,,,,,1,"17,500.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt NOVI ZAGREB - ISTOK,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,2016-PROGRAM,,Javna rasvjeta,Prenesene obveze iz prethodnog razdoblja,Park za pse u Utrinama,,,"14,875 kn",Utrine,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"14,875.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt NOVI ZAGREB - ISTOK,Zona 2,,,,,,,,,,,,,,,,,,,,,,,,,
