id,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped,FIELD69,FIELD70,FIELD71,FIELD72,FIELD73
119,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Nadstresnica na autobusnom okretistu u Dumovcu,,,"50,000 kn",Dumovec,,,45.811046,16.160066,,,,,,,,,,,,,,,,,,,,,,1,"50,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,"Autobusna stajalista u Ulici Ive Politea, Dumovecka ulica...","Autobusna stajalista u Ulici Ive Politea, Dumovecka ulica, Prelceva ulica i odvojci, Zlatarska, Stubicka ulica, Velebitska (Streljenceva) ulica, Zagorska i odvojak, raskrizje Zagrebacka- Anke Krizmanic-Badelov brijeg, Trsatska ulica, Ulica Ciklama, Augusta Senoe, Trg kralja Tomislava, Mirka Bogovica, Ulica 6, raskrizje Zlatarska cesta-Glavna cesta-Augusta Senoe, Aleja Mira, krizanje Dugoselska cesta-Mladena Halape, autobusno stajaliste u Ulici Mladena Halape, Stjepana Mikusa, Ivana Sandelica, Dragutina Domjanica u Adamovcu, Omladinska- nogostup, Dugoselska cesta, Odvojak Popovecke kod br. 58, Dragutina Domjanica u Sesvetama, most na Vuger potoku izmedu Sopnicke i Ljudevita Posavskog, Zeljeznicka ulica, Cerska ulica, autobusno stajaliste Bistricka, autobusno stajaliste Kasinska, Dobrodolska ulica",,"615,000 kn",Ulica Ive Politea,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"615,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Franjceviceva - Bilogorska ulica,,,"1,700,000 kn",,Franjceviceva,Bilogorska ulica,45.807148,16.160176,,,,,,,,,,,,,,,,,,,,,,1,"1,700,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Vugrovecka ulica - nogostup (od Varazdinske do Smiciklasove),,,"1,700,000 kn",Vugrovecka ulica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"1,700,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Dugoselska ulica - Bedem ljubavi,,,"1,200,000 kn",,Dugoselska ulica,Bedem ljubavi,45.803874,16.016623,,,,,,,,,,,,,,,,,,,,,,1,"1,200,000.00",Tehnicka dokumentacija i gradenje,"TD,G",,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Omladinska - nogostup,,,"800,000 kn",Omladinska,,,45.872356,16.161889,,,,,,,,,,,,,,,,,,,,,,1,"800,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Ulica 4 u gospodarskoj zoni Sesvete,,,"3,000,000 kn",Sesvete,,,45.800623,15.943401,,,,,,,,,,,,,,,,,,,,,,1,"3,000,000.00",Tehnicka dokumentacija i gradenje,"TD,G",,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Vugrovecka-Dobrodolska -Pudakova,,,"2,500,000 kn",Vugrovecka,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"2,500,000.00",Tehnicka dokumentacija i gradenje,"TD,G",,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Izgradnja nogostupa na Soblineckoj,,,"800,000 kn",Soblinecka,,,45.862784,16.147085,,,,,,,,,,,,,,,,,,,,,,1,"800,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,"Parkiraliste Mirna ulica, Tumbri - nogostup...","Parkiraliste Mirna ulica, Tumbri - nogostup, Horvati - nogostup, Dreznik - nogostup, Golobreska - nogostup, Desprimska III. odvojak - nogostup, Gornjodemerska - nogostup, Bedeki - nogostup, Obreska - nogostup,",,"80,000 kn",Mirna ulica,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"80,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt BREZOVICA,,,,,,,,,,,,,,,,,,,,,,,,,,
